Year,GDP,Growth Rate (%),Cumulative Growth (%)
2000,1211331651866.09,,100.0
2001,1339400897105.11,10.572599588372489,110.57259958837248
2002,1470557654799.95,9.79219574798802,121.40008498370491
2003,1660280543846.79,12.901424736906986,137.06242557841875
2004,1955346768721.39,17.772070266567464,161.42125616127706
2005,2285961149879.85,16.90822244151866,188.71472122091942
2006,2752118657184.02,20.39218852554301,227.19778294774224
2007,3550327802998.4,29.003442265498492,293.0929607534833
2008,4594336785737.67,29.405988423310127,379.2798428621894
2009,5101691124285.21,11.043037596254024,421.1638585044742
2010,6087191746679.49,19.317136188490004,502.5206546284828
2011,7551545703440.75,24.05631394082586,623.4086009234039
2012,8532185381680.59,12.985946410852357,704.3641077599616
2013,9570471111831.68,12.169047948493805,790.0785137652518
2014,10475624944355.2,9.45777717676306,864.8023791186507
2015,11061572618578.7,5.59343883859873,913.1745712693992
2016,11233313730348.7,1.552592182792778,927.3524482781793
2017,12310491333980.9,9.589134866962933,1016.2775252356565
2018,13894907857880.6,12.87045724589564,1147.077089620758
2019,14279968506271.7,2.7712357097259277,1178.8652995464133
2020,14687744162801.0,2.855578122250102,1212.5287191310588
2021,17820459508852.2,21.32877119404959,1471.1461952966627
2022,17881783387000.9,0.3441206334676039,1476.208712903152
2023,17794781986104.5,-0.48653648807559513,1469.0264188747271
