Year,R&D Spending (% of GDP)
2000,0.893159985542297
2001,0.940330028533936
2002,1.05786001682281
2003,1.12037003040314
2004,1.21498000621796
2005,1.30791997909546
2006,1.36854004859924
2007,1.37369000911713
2008,1.44591999053955
2009,1.66480004787445
2010,1.7137199640274
2011,1.78033995628357
2012,1.91214001178741
2013,1.99785995483398
2014,2.02242994308472
2015,2.05700993537903
2016,2.10033011436462
2017,2.11602997779846
2018,2.14057993888855
2019,2.2446300983429
2020,2.40666007995605
2021,2.4326000213623
2022,
2023,
