Year,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Tariffs on Imports (US$ Thousand),Trade Deficit (US$ Thousand)
1991,All Products,6278338.05,20276389.89,100.0,100.0,,,,6.12,9.63,5502.0,75.5,11.05,4.27,9.18,114.9,0.0,981474.53,19546584.71,556289.36,6.12,9.63,5502.0,75.5,11.05,4.27,9.18,114.9,0.0,981474.53,19546584.71,556289.36,14757671.456050001,13998051.84
1991,Animal,34474.64,377482.81,0.55,1.86,,,,1.65,1.14,90.0,30.0,55.56,1.11,13.33,15.0,0.0,278.72,114151.71,263331.1,1.65,1.14,90.0,30.0,55.56,1.11,13.33,15.0,0.0,278.72,114151.71,263331.1,34245.513,343008.17
1991,Capital goods,2522557.84,1562512.7,40.18,7.71,,,,3.9,4.02,902.0,85.25,13.08,1.0,0.67,20.0,0.0,3026.51,1525849.15,36663.55,3.9,4.02,902.0,85.25,13.08,1.0,0.67,20.0,0.0,3026.51,1525849.15,36663.55,1300786.400375,-960045.1399999999
1991,Chemicals,1380961.69,421317.84,22.0,2.08,,,,5.55,5.91,756.0,79.89,8.86,0.26,10.98,44.8,0.0,63486.76,393822.36,27495.48,5.55,5.91,756.0,79.89,8.86,0.26,10.98,44.8,0.0,63486.76,393822.36,27495.48,314624.683404,-959643.8499999999
1991,Consumer goods,186480.49,15957454.29,2.97,78.7,,,,7.47,10.69,2456.0,77.0,7.13,6.23,9.65,76.45,0.0,377305.28,15941145.65,66529.4,7.47,10.69,2456.0,77.0,7.13,6.23,9.65,76.45,0.0,377305.28,15941145.65,66529.4,12274682.150500001,15770973.799999999
1991,Food Products,18789.17,131649.39,0.3,0.65,,,,7.18,9.16,301.0,48.17,11.3,3.99,36.54,114.9,0.0,4645.53,116933.87,14715.52,7.18,9.16,301.0,48.17,11.3,3.99,36.54,114.9,0.0,4645.53,116933.87,14715.52,56327.045179,112860.22000000002
1991,Footwear,1217.98,3178922.98,0.02,15.68,,,,11.93,19.86,159.0,80.5,1.26,5.66,12.58,76.45,0.0,11913.58,3178923.03,0.0,11.93,19.86,159.0,80.5,1.26,5.66,12.58,76.45,0.0,11913.58,3178923.03,0.0,2559033.03915,3177705.0
1991,Fuels,56547.78,642489.22,0.9,3.17,,,,1.05,7.16,21.0,9.52,38.1,47.62,4.76,12.29,0.0,634059.3,634059.3,8429.95,1.05,7.16,21.0,9.52,38.1,47.62,4.76,12.29,0.0,634059.3,634059.3,8429.95,60362.44536,585941.44
1991,Hides and Skins,13691.41,1271596.62,0.22,6.27,,,,6.01,10.57,105.0,86.67,12.38,0.0,0.95,20.0,0.0,0.0,1270894.1,702.51,6.01,10.57,105.0,86.67,12.38,0.0,0.95,20.0,0.0,0.0,1270894.1,702.51,1101483.91647,1257905.2100000002
1991,Intermediate goods,2453188.0,1356207.0,39.07,6.69,,,,6.6,6.89,1779.0,78.36,9.67,3.32,8.66,80.58,0.0,15674.59,1217322.22,138923.31,6.6,6.89,1779.0,78.36,9.67,3.32,8.66,80.58,0.0,15674.59,1217322.22,138923.31,953893.691592,-1096981.0
1991,Mach and Elec,1334650.05,3381192.83,21.26,16.68,,,,3.86,4.65,746.0,87.4,11.39,1.07,0.13,25.0,0.0,1508.55,3374991.16,6201.77,3.86,4.65,746.0,87.4,11.39,1.07,0.13,25.0,0.0,1508.55,3374991.16,6201.77,2949742.2738400004,2046542.78
1991,Metals,232487.75,713439.91,3.7,3.52,,,,4.39,4.58,540.0,79.26,9.63,3.7,7.41,22.85,0.0,31530.1,628095.54,85344.38,4.39,4.58,540.0,79.26,9.63,3.7,7.41,22.85,0.0,31530.1,628095.54,85344.38,497828.52500400005,480952.16000000003
1991,Minerals,44362.93,114085.86,0.71,0.56,,,,1.74,3.05,52.0,19.23,51.92,3.85,25.0,13.5,0.0,470.98,89153.01,24932.86,1.74,3.05,52.0,19.23,51.92,3.85,25.0,13.5,0.0,470.98,89153.01,24932.86,17144.123822999998,69722.93
1991,Miscellaneous,395166.44,4080284.2,6.29,20.12,,,,5.62,6.88,746.0,71.58,5.36,19.97,3.08,43.44,0.0,193635.11,3874847.27,31959.0,5.62,6.88,746.0,71.58,5.36,19.97,3.08,43.44,0.0,193635.11,3874847.27,31959.0,2773615.675866,3685117.7600000002
1991,Plastic or Rubber,307333.29,560915.42,4.9,2.77,,,,4.72,4.46,192.0,89.06,7.29,0.0,3.65,16.0,0.0,0.0,559880.13,1035.28,4.72,4.46,192.0,89.06,7.29,0.0,3.65,16.0,0.0,0.0,559880.13,1035.28,498629.24377800006,253582.13000000006
1991,Raw materials,1013765.77,1176479.32,16.15,5.8,,,,2.86,2.16,368.0,27.99,38.86,3.8,29.35,114.9,0.0,585468.15,862306.22,314173.1,2.86,2.16,368.0,27.99,38.86,3.8,29.35,114.9,0.0,585468.15,862306.22,314173.1,241359.51097799998,162713.55000000005
1991,Stone and Glass,26564.03,353578.61,0.42,1.74,,,,6.47,8.9,267.0,85.02,10.11,0.37,4.49,38.0,0.0,94.03,348520.19,5058.43,6.47,8.9,267.0,85.02,10.11,0.37,4.49,38.0,0.0,94.03,348520.19,5058.43,296311.865538,327014.57999999996
1991,Textiles and Clothing,515198.9,4451721.37,8.21,21.96,,,,12.3,11.56,900.0,89.78,2.56,1.33,6.33,41.93,0.0,3295.39,4444527.87,7193.49,12.3,11.56,900.0,89.78,2.56,1.33,6.33,41.93,0.0,3295.39,4444527.87,7193.49,3990297.1216860004,3936522.47
1991,Transportation,1151554.82,164796.33,18.34,0.81,,,,3.33,4.62,114.0,76.32,23.68,0.0,0.0,15.0,0.0,0.0,141185.14,23611.18,3.33,4.62,114.0,76.32,23.68,0.0,0.0,15.0,0.0,0.0,141185.14,23611.18,107752.49884799999,-986758.4900000001
1991,Vegetable,370383.08,133928.22,5.9,0.66,,,,4.06,2.69,285.0,32.28,26.67,2.46,38.6,35.0,0.0,95.01,86189.57,47700.12,4.06,2.69,285.0,32.28,26.67,2.46,38.6,35.0,0.0,95.01,86189.57,47700.12,27821.993196000007,-236454.86000000002
1991,Wood,394954.25,298988.77,6.29,1.47,,,,3.1,6.13,228.0,64.91,27.63,0.88,6.58,18.0,0.0,36461.48,290410.45,8578.31,3.1,6.13,228.0,64.91,27.63,0.88,6.58,18.0,0.0,36461.48,290410.45,8578.31,188505.423095,-95965.47999999998
1992,All Products,7469572.1,27450238.98,100.0,100.0,1.0,,,6.17,9.14,5715.0,75.84,10.88,3.48,9.8,181.79,0.0,1468747.75,26272866.64,795850.9,6.17,9.14,5715.0,75.84,10.88,3.48,9.8,181.79,0.0,1468747.75,26272866.64,795850.9,19925342.059776,19980666.880000003
1992,Animal,42627.2,531827.56,0.57,1.94,1.84,,,1.49,0.87,91.0,28.57,53.85,1.1,16.48,17.5,0.0,1291.86,143199.37,388628.17,1.49,0.87,91.0,28.57,53.85,1.1,16.48,17.5,0.0,1291.86,143199.37,388628.17,40912.060009,489200.36000000004
1992,Capital goods,3957443.72,2418435.24,52.98,8.81,1.11,,,3.87,3.86,948.0,84.7,14.03,0.74,0.53,42.98,0.0,5523.71,2343536.25,74898.99,3.87,3.86,948.0,84.7,14.03,0.74,0.53,42.98,0.0,5523.71,2343536.25,74898.99,1984975.2037499999,-1539008.48
1992,Chemicals,999228.01,550309.3,13.38,2.0,1.84,,,5.6,5.56,840.0,79.64,8.45,1.19,10.71,23.5,0.0,92177.41,486052.05,64257.26,5.6,5.56,840.0,79.64,8.45,1.19,10.71,23.5,0.0,92177.41,486052.05,64257.26,387091.85261999996,-448918.70999999996
1992,Consumer goods,367799.07,21607012.86,4.92,78.71,0.72,,,7.33,10.17,2506.0,77.09,7.22,5.31,10.38,76.03,0.0,905436.78,21561154.22,89232.18,7.33,10.17,2506.0,77.09,7.22,5.31,10.38,76.03,0.0,905436.78,21561154.22,89232.18,16621493.788198,21239213.79
1992,Food Products,19192.6,169381.0,0.26,0.62,0.56,,,7.55,9.39,323.0,47.99,12.07,4.33,35.6,181.79,0.0,6072.34,146771.08,22609.92,7.55,9.39,323.0,47.99,12.07,4.33,35.6,181.79,0.0,6072.34,146771.08,22609.92,70435.44129199999,150188.4
1992,Footwear,6101.78,4312305.1,0.08,15.71,0.09,,,11.79,18.72,160.0,80.0,1.25,6.25,12.5,76.03,0.0,390988.9,4312305.23,0.0,11.79,18.72,160.0,80.0,1.25,6.25,12.5,76.03,0.0,390988.9,4312305.23,0.0,3449844.1840000004,4306203.319999999
1992,Fuels,200139.38,570255.55,2.68,2.08,0.69,,,1.04,7.17,20.0,10.0,35.0,50.0,5.0,12.13,0.0,563359.72,563359.72,6895.83,1.04,7.17,20.0,10.0,35.0,50.0,5.0,12.13,0.0,563359.72,563359.72,6895.83,56335.972,370116.17000000004
1992,Hides and Skins,17421.04,1681970.15,0.23,6.13,0.49,,,5.7,10.22,109.0,84.4,14.68,0.0,0.92,20.0,0.0,0.0,1681429.79,540.34,5.7,10.22,109.0,84.4,14.68,0.0,0.92,20.0,0.0,0.0,1681429.79,540.34,1419126.7427600003,1664549.1099999999
1992,Intermediate goods,2028261.19,1759806.51,27.15,6.41,0.84,,,6.9,6.79,1889.0,79.2,8.89,2.38,9.53,64.69,0.0,35780.97,1553730.59,206207.4,6.9,6.79,1889.0,79.2,8.89,2.38,9.53,64.69,0.0,35780.97,1553730.59,206207.4,1230554.6272800001,-268454.67999999993
1992,Mach and Elec,1640227.71,4672814.85,21.96,17.02,0.79,,,3.8,4.43,789.0,86.69,12.42,0.51,0.38,42.98,0.0,9091.11,4660173.91,12640.9,3.8,4.43,789.0,86.69,12.42,0.51,0.38,42.98,0.0,9091.11,4660173.91,12640.9,4039904.762579,3032587.1399999997
1992,Metals,374687.23,912345.06,5.02,3.32,0.55,,,4.43,4.64,547.0,79.89,9.32,3.66,7.13,22.8,0.0,40909.48,813830.8,98514.26,4.43,4.64,547.0,79.89,9.32,3.66,7.13,22.8,0.0,40909.48,813830.8,98514.26,650169.4261200001,537657.8300000001
1992,Minerals,33235.93,87626.91,0.45,0.32,0.2,,,1.88,1.68,49.0,22.45,48.98,6.12,22.45,13.5,0.0,178.07,59616.42,28010.49,1.88,1.68,49.0,22.45,48.98,6.12,22.45,13.5,0.0,178.07,59616.42,28010.49,13383.88629,54390.98
1992,Miscellaneous,554176.98,6035219.57,7.42,21.99,1.35,,,5.91,6.63,724.0,73.34,5.11,14.09,7.46,49.92,0.0,252733.81,5582454.78,71374.67,5.91,6.63,724.0,73.34,5.11,14.09,7.46,49.92,0.0,252733.81,5582454.78,71374.67,4094172.3356520003,5481042.59
1992,Plastic or Rubber,231330.7,890928.86,3.1,3.25,0.82,,,4.8,4.48,188.0,87.23,7.45,0.0,5.32,16.0,0.0,0.0,890842.4,86.46,4.8,4.48,188.0,87.23,7.45,0.0,5.32,16.0,0.0,0.0,890842.4,86.46,777081.8255200001,659598.1599999999
1992,Raw materials,855037.18,1240089.39,11.45,4.52,1.46,,,3.31,1.87,375.0,28.27,37.33,3.73,30.67,181.79,0.0,522006.3,814577.06,425512.33,3.31,1.87,375.0,28.27,37.33,3.73,30.67,181.79,0.0,522006.3,814577.06,425512.33,230280.93486200002,385052.20999999985
1992,Stone and Glass,50800.26,511529.25,0.68,1.86,0.59,,,6.48,8.87,277.0,85.92,9.75,0.0,4.33,38.0,0.0,0.0,505093.65,6435.57,6.48,8.87,277.0,85.92,9.75,0.0,4.33,38.0,0.0,0.0,505093.65,6435.57,433976.46408,460728.99
1992,Textiles and Clothing,326306.92,5716680.0,4.37,20.83,0.53,,,12.05,11.1,957.0,88.82,2.93,1.67,6.58,44.43,0.0,62763.29,5712858.36,3821.66,12.05,11.1,957.0,88.82,2.93,1.67,6.58,44.43,0.0,62763.29,5712858.36,3821.66,5074160.795352,5390373.08
1992,Transportation,2334130.36,233502.27,31.25,0.85,2.15,,,3.67,4.95,116.0,78.45,21.55,0.0,0.0,18.0,0.0,0.0,208588.0,24914.27,3.67,4.95,116.0,78.45,21.55,0.0,0.0,18.0,0.0,0.0,208588.0,24914.27,163637.286,-2100628.09
1992,Vegetable,320647.11,149434.72,4.29,0.54,1.88,,,4.38,2.83,280.0,33.57,24.29,2.5,39.64,35.0,0.0,86.97,98322.17,50981.07,4.38,2.83,280.0,33.57,24.29,2.5,39.64,35.0,0.0,86.97,98322.17,50981.07,33006.752469,-171212.38999999998
1992,Wood,319318.7,424108.95,4.27,1.54,1.31,,,3.16,5.8,245.0,66.12,26.94,0.82,6.12,20.0,0.0,49094.79,407968.91,16140.02,3.16,5.8,245.0,66.12,26.94,0.82,6.12,20.0,0.0,49094.79,407968.91,16140.02,269749.04329199996,104790.25
1993,All Products,8767095.81,33673211.9,100.0,100.0,1.0,13.58,9.58,6.1,8.98,6006.0,75.11,11.39,3.15,10.36,178.25,0.0,926512.02,32711768.62,719066.31,6.1,8.98,6006.0,75.11,11.39,3.15,10.36,178.25,0.0,926512.02,32711768.62,719066.31,24569809.410482,24906116.089999996
1993,Animal,63467.93,399409.74,0.72,1.19,1.86,3.65,0.51,1.48,1.0,94.0,28.72,53.19,1.06,17.02,15.0,0.0,2382.99,147368.42,252041.3,1.48,1.0,94.0,28.72,53.19,1.06,17.02,15.0,0.0,2382.99,147368.42,252041.3,42324.210224,335941.81
1993,Capital goods,5367522.39,3686278.05,61.22,10.95,1.35,20.86,28.53,3.81,3.76,971.0,84.14,14.21,1.03,0.62,28.37,0.0,7655.94,3582286.48,103991.57,3.81,3.76,971.0,84.14,14.21,1.03,0.62,28.37,0.0,7655.94,3582286.48,103991.57,3014135.8442720002,-1681244.3399999999
1993,Chemicals,658952.43,637643.82,7.52,1.89,1.63,-11.59,-19.62,5.69,5.4,911.0,78.81,8.56,0.22,12.4,44.44,0.0,84320.45,566096.05,71547.76,5.69,5.4,911.0,78.81,8.56,0.22,12.4,44.44,0.0,84320.45,566096.05,71547.76,446140.29700500006,-21308.610000000102
1993,Consumer goods,949159.8,26730105.55,10.83,79.38,0.95,26.86,40.54,7.4,10.02,2554.0,77.09,7.48,4.93,10.49,74.13,0.0,640951.62,26616890.34,116533.68,7.4,10.02,2554.0,77.09,7.48,4.93,10.49,74.13,0.0,640951.62,26616890.34,116533.68,20518960.763106,25780945.75
