Year,Month,Exports,Imports,Balance
2024,January,12073.1,35793.6,-23720.5
2024,February,12010.9,31894.8,-19883.9
2024,March,12771.7,29940.6,-17168.9
2024,April,11520.7,31630.4,-20109.7
2024,May,11061.4,35037.0,-23975.6
2024,June,11319.0,34114.0,-22795.0
2024,July,10712.9,40836.6,-30123.6
2024,August,11974.7,39851.2,-27876.5
2024,September,11263.2,43074.2,-31810.9
2024,October,13501.9,41464.1,-27962.2
2023,January,13042.5,38180.5,-25138.0
2023,February,11791.1,30579.2,-18788.2
2023,March,13911.7,30773.9,-16862.1
2023,April,13060.7,33021.8,-19961.1
2023,May,10699.6,35875.0,-25175.4
2023,June,10149.5,34296.5,-24147.0
2023,July,10784.4,36086.3,-25302.0
2023,August,10764.8,36705.3,-25940.5
2023,September,11795.6,40239.2,-28443.7
2023,October,15815.1,41556.9,-25741.8
2023,November,13883.4,35478.1,-21594.7
2023,December,12079.4,34092.1,-22012.7
2022,January,11408.2,47674.2,-36266.0
2022,February,11613.3,42245.8,-30632.6
2022,March,13619.4,47280.6,-33661.2
2022,April,11347.4,41732.4,-30385.0
2022,May,12304.5,43779.0,-31474.5
2022,June,11590.9,48487.1,-36896.2
2022,July,12397.7,46571.6,-34173.9
2022,August,12875.4,50386.8,-37511.4
2022,September,11870.4,49274.0,-37403.6
2022,October,15700.3,44671.2,-28970.9
2022,November,15785.8,36921.6,-21135.8
2022,December,13612.2,37235.0,-23622.9
2021,January,13011.2,38835.3,-25824.1
2021,February,9265.1,33816.8,-24551.7
2021,March,12812.0,39934.0,-27122.0
2021,April,11931.4,37371.1,-25439.8
2021,May,12407.4,38486.5,-26079.2
2021,June,12142.6,39779.3,-27636.7
2021,July,11757.3,40290.9,-28533.6
2021,August,11245.2,42897.8,-31652.7
2021,September,11019.6,47350.9,-36331.4
2021,October,16651.5,47873.5,-31221.9
2021,November,15883.8,48234.8,-32351.0
2021,December,13312.4,49375.3,-36062.9
2020,January,7155.7,32944.7,-25788.9
2020,February,6826.0,22576.6,-15750.6
2020,March,7933.5,19638.1,-11704.6
2020,April,8635.9,30730.1,-22094.3
2020,May,9699.7,36318.7,-26619.1
2020,June,9240.6,37286.9,-28046.2
2020,July,9090.1,40469.8,-31379.8
2020,August,10969.4,40598.9,-29629.6
2020,September,11503.3,41003.2,-29499.9
2020,October,14803.1,44654.3,-29851.2
2020,November,14211.7,44700.4,-30488.7
2020,December,14512.6,41626.2,-27113.6
2019,January,7105.4,41302.5,-34197.1
2019,February,8083.6,33027.8,-24944.2
2019,March,10574.3,31078.7,-20504.4
2019,April,7900.4,34499.5,-26599.0
2019,May,9070.7,39023.9,-29953.2
2019,June,9168.5,38733.0,-29564.5
2019,July,8700.8,41237.2,-32536.3
2019,August,9413.5,40955.6,-31542.1
2019,September,8604.8,39866.7,-31261.9
2019,October,8854.9,39794.9,-30940.0
2019,November,10103.2,36172.9,-26069.7
2019,December,8901.2,33418.1,-24517.0
2018,January,9909.5,45681.3,-35771.9
2018,February,9743.1,38956.2,-29213.1
2018,March,12653.0,38273.8,-25620.8
2018,April,10509.6,38227.8,-27718.2
2018,May,10397.8,43866.6,-33468.8
2018,June,10855.7,44524.0,-33668.3
2018,July,10152.0,47009.8,-36857.8
2018,August,9278.1,47796.2,-38518.1
2018,September,9733.1,49938.0,-40204.9
2018,October,9188.7,52081.1,-42892.4
2018,November,8650.5,46344.6,-37694.1
2018,December,9210.2,45814.9,-36604.6
2017,January,9955.5,41335.6,-31380.0
2017,February,9739.8,32785.0,-23045.1
2017,March,9720.2,34162.0,-24441.8
2017,April,9806.5,37441.9,-27635.4
2017,May,9880.0,41756.8,-31876.8
2017,June,9718.2,42258.1,-32539.9
2017,July,9954.1,43561.1,-33607.0
2017,August,10825.5,45782.3,-34956.9
2017,September,10896.0,45405.1,-34509.1
2017,October,12963.2,48133.1,-35169.9
2017,November,12908.4,48104.8,-35196.4
2017,December,13629.9,44439.4,-30809.5
2016,January,8208.9,37126.4,-28917.5
2016,February,8080.5,36066.9,-27986.4
2016,March,8925.6,29812.3,-20886.8
2016,April,8679.7,32920.2,-24240.5
2016,May,8542.0,37513.7,-28971.8
2016,June,8845.6,38539.2,-29693.6
2016,July,9129.7,39438.9,-30309.2
2016,August,9372.9,43221.8,-33848.9
2016,September,9521.2,42020.9,-32499.8
2016,October,12600.0,43798.1,-31198.1
2016,November,12044.1,42602.6,-30558.5
2016,December,11644.8,39358.9,-27714.1
2015,January,9459.2,38589.7,-29130.5
2015,February,8754.6,31564.0,-22809.4
2015,March,9886.5,41136.9,-31250.4
2015,April,9279.9,36121.4,-26841.5
2015,May,8749.8,39082.0,-30332.2
2015,June,9615.8,41453.8,-31838.1
2015,July,9505.2,41215.1,-31709.9
2015,August,9183.5,44138.1,-34954.6
2015,September,9419.4,45725.0,-36305.5
2015,October,11324.9,44309.9,-32985.1
2015,November,10603.6,41884.8,-31281.2
2015,December,10091.1,37981.0,-27889.9
2014,January,10264.5,38377.2,-28112.7
2014,February,9750.7,30700.4,-20949.7
2014,March,10934.3,31420.9,-20486.6
2014,April,9031.9,36450.2,-27418.3
2014,May,9220.2,38188.1,-28968.0
2014,June,9330.2,39607.1,-30276.9
2014,July,9291.8,40319.6,-31027.8
2014,August,9625.2,40093.8,-30468.6
2014,September,9314.0,45102.8,-35788.8
2014,October,12593.3,45335.4,-32742.0
2014,November,12125.9,42483.5,-30357.6
2014,December,12175.2,40395.9,-28220.7
2013,January,9382.9,37193.7,-27810.7
2013,February,9133.3,32742.7,-23609.4
2013,March,9539.0,27294.1,-17755.0
2013,April,8954.0,33131.9,-24178.0
2013,May,8752.8,36617.6,-27864.8
2013,June,9217.6,35886.0,-26668.4
2013,July,8723.7,38800.4,-30076.7
2013,August,9352.1,39161.3,-29809.2
2013,September,9527.2,40144.4,-30617.2
2013,October,13147.8,41845.5,-28697.7
2013,November,13027.1,40112.3,-27085.2
2013,December,12988.7,37500.2,-24511.6
2012,January,8359.5,34417.5,-26058.1
2012,February,8785.7,28105.2,-19319.5
2012,March,9811.6,31431.3,-21619.8
2012,April,8468.1,33016.3,-24548.1
2012,May,8960.2,34937.8,-25977.7
2012,June,8478.1,35949.4,-27471.2
2012,July,8515.1,37930.8,-29415.7
2012,August,8613.3,37280.6,-28667.3
2012,September,8804.2,37891.8,-29087.6
2012,October,10824.4,40257.1,-29432.7
2012,November,10587.8,39543.7,-28955.9
2012,December,10308.6,34857.6,-24548.9
2011,January,8017.8,31377.4,-23359.6
2011,February,8383.3,27244.7,-18861.4
2011,March,9563.7,27599.7,-18035.9
2011,April,8000.5,29580.3,-21579.8
2011,May,7849.2,32788.1,-24938.9
2011,June,7867.0,34374.8,-26507.8
2011,July,8157.9,35152.2,-26994.3
2011,August,8421.6,37374.1,-28952.5
2011,September,8370.1,36418.6,-28048.6
2011,October,9745.6,37824.1,-28078.5
2011,November,9997.2,36764.9,-26767.7
2011,December,9747.7,32872.3,-23124.6
2010,January,6898.4,25215.9,-18317.6
2010,February,6840.2,23342.8,-16502.6
2010,March,7400.8,24292.2,-16891.4
2010,April,6600.7,25920.2,-19319.5
2010,May,6755.3,29052.4,-22297.2
2010,June,6733.7,32843.1,-26109.4
2010,July,7339.3,33266.8,-25927.6
2010,August,7209.7,35375.3,-28165.6
2010,September,7114.3,35196.7,-28082.4
2010,October,9417.3,35083.3,-25666.0
2010,November,9475.8,34564.3,-25088.4
2010,December,10125.6,30799.6,-20674.0
2009,January,4159.6,24743.5,-20583.8
2009,February,4661.7,18845.5,-14183.8
2009,March,5579.3,21224.7,-15645.5
2009,April,5161.4,21920.6,-16759.2
2009,May,5256.0,22734.1,-17478.1
2009,June,5548.6,23972.8,-18424.2
2009,July,5269.3,25671.1,-20401.8
2009,August,5518.0,25798.1,-20280.1
2009,September,5764.3,27893.9,-22129.6
2009,October,6879.3,29557.8,-22678.5
2009,November,7374.2,27541.7,-20167.6
2009,December,8325.0,26470.1,-18145.1
2008,January,5556.7,26193.0,-20636.3
2008,February,5698.1,24095.9,-18397.8
2008,March,6294.4,22440.2,-16145.9
2008,April,5651.2,25951.7,-20300.4
2008,May,6275.7,27634.5,-21358.9
2008,June,6188.2,27930.6,-21742.5
2008,July,6234.6,31247.3,-25012.6
2008,August,6201.3,31823.7,-25622.4
2008,September,5257.6,33078.7,-27821.1
2008,October,6083.4,34032.4,-27949.0
2008,November,5181.0,28265.0,-23084.1
2008,December,5110.7,25079.5,-19968.8
2007,January,4389.5,25640.6,-21251.0
2007,February,4532.9,23038.9,-18506.0
2007,March,5425.4,22723.0,-17297.7
2007,April,4704.0,24241.5,-19537.6
2007,May,5129.4,25290.6,-20161.1
2007,June,5561.8,27071.0,-21509.2
2007,July,4665.9,28601.2,-23935.2
2007,August,5552.8,28424.5,-22871.7
2007,September,5311.9,29419.0,-24107.1
2007,October,5532.9,31555.4,-26022.5
2007,November,5581.5,29780.7,-24199.2
2007,December,6548.9,25656.6,-19107.7
2006,January,3396.9,21382.5,-17985.6
2006,February,4072.2,17905.4,-13833.1
