Year,Month,Balance,Date,Balance (Billions USD),Balance Trend
2000,1,-6039.0,2000-01-01,-6.039e-06,
2000,2,-5611.7,2000-02-01,-5.6117e-06,
2000,3,-5093.6,2000-03-01,-5.093600000000001e-06,
2000,4,-5843.0,2000-04-01,-5.843e-06,
2000,5,-6323.9,2000-05-01,-6.3239e-06,
2000,6,-7206.1,2000-06-01,-7.2061e-06,
2000,7,-7603.6,2000-07-01,-7.6036e-06,
2000,8,-8625.0,2000-08-01,-8.625e-06,
2000,9,-8728.4,2000-09-01,-8.7284e-06,
2000,10,-9124.3,2000-10-01,-9.1243e-06,
2000,11,-7616.4,2000-11-01,-7.6164e-06,
2000,12,-6018.0,2000-12-01,-6.018e-06,-6.986083333333333e-06
2001,1,-7240.0,2001-01-01,-7.24e-06,-7.086166666666667e-06
2001,2,-5085.8,2001-02-01,-5.0858000000000005e-06,-7.042341666666666e-06
2001,3,-5734.4,2001-03-01,-5.7344e-06,-7.0957416666666664e-06
2001,4,-6287.9,2001-04-01,-6.2878999999999995e-06,-7.132816666666666e-06
2001,5,-6161.9,2001-05-01,-6.161899999999999e-06,-7.119316666666667e-06
2001,6,-6611.8,2001-06-01,-6.6118e-06,-7.069791666666666e-06
2001,7,-7488.3,2001-07-01,-7.4883e-06,-7.060183333333333e-06
2001,8,-8113.2,2001-08-01,-8.1132e-06,-7.017533333333334e-06
2001,9,-8500.0,2001-09-01,-8.5e-06,-6.9985e-06
2001,10,-9160.6,2001-10-01,-9.1606e-06,-7.001525e-06
2001,11,-7204.3,2001-11-01,-7.2043e-06,-6.967183333333333e-06
2001,12,-5507.9,2001-12-01,-5.507899999999999e-06,-6.924675e-06
2002,1,-6846.1,2002-01-01,-6.8461e-06,-6.89185e-06
2002,2,-6491.3,2002-02-01,-6.4913e-06,-7.008974999999999e-06
2002,3,-5638.5,2002-03-01,-5.6385e-06,-7.000983333333334e-06
2002,4,-7553.1,2002-04-01,-7.553100000000001e-06,-7.106416666666667e-06
2002,5,-8073.0,2002-05-01,-8.073e-06,-7.265675e-06
2002,6,-8521.3,2002-06-01,-8.5213e-06,-7.4248000000000005e-06
2002,7,-9365.2,2002-07-01,-9.365200000000001e-06,-7.581208333333334e-06
2002,8,-10831.6,2002-08-01,-1.08316e-05,-7.807741666666667e-06
2002,9,-10267.8,2002-09-01,-1.0267799999999998e-05,-7.955058333333334e-06
2002,10,-9492.3,2002-10-01,-9.492299999999999e-06,-7.982699999999999e-06
2002,11,-10408.8,2002-11-01,-1.04088e-05,-8.249741666666667e-06
2002,12,-9575.9,2002-12-01,-9.5759e-06,-8.588741666666666e-06
2003,1,-9333.7,2003-01-01,-9.3337e-06,-8.796041666666667e-06
2003,2,-7581.0,2003-02-01,-7.581e-06,-8.88685e-06
2003,3,-7686.9,2003-03-01,-7.6869e-06,-9.05755e-06
2003,4,-9399.9,2003-04-01,-9.3999e-06,-9.21145e-06
2003,5,-9900.4,2003-05-01,-9.9004e-06,-9.363733333333333e-06
2003,6,-10007.7,2003-06-01,-1.00077e-05,-9.487599999999999e-06
2003,7,-11371.2,2003-07-01,-1.13712e-05,-9.654766666666666e-06
2003,8,-11730.4,2003-08-01,-1.17304e-05,-9.729666666666668e-06
2003,9,-12656.5,2003-09-01,-1.26565e-05,-9.928724999999999e-06
2003,10,-13680.0,2003-10-01,-1.368e-05,-1.02777e-05
2003,11,-10837.3,2003-11-01,-1.0837299999999999e-05,-1.0313408333333334e-05
2003,12,-9883.2,2003-12-01,-9.8832e-06,-1.0339016666666667e-05
2004,1,-11468.5,2004-01-01,-1.14685e-05,-1.0516916666666666e-05
2004,2,-8338.2,2004-02-01,-8.338200000000001e-06,-1.0580016666666667e-05
2004,3,-10438.2,2004-03-01,-1.0438200000000001e-05,-1.0809291666666667e-05
2004,4,-12010.2,2004-04-01,-1.20102e-05,-1.1026816666666666e-05
2004,5,-12232.1,2004-05-01,-1.2232100000000001e-05,-1.1221125e-05
2004,6,-14123.5,2004-06-01,-1.41235e-05,-1.1564108333333333e-05
2004,7,-14943.3,2004-07-01,-1.49433e-05,-1.1861783333333334e-05
2004,8,-15446.9,2004-08-01,-1.54469e-05,-1.2171491666666667e-05
2004,9,-15563.9,2004-09-01,-1.55639e-05,-1.2413775e-05
