month_year,5G,AI,artificial intelligence,automation,big data,blockchain,cloud computing,cybersecurity,data centers,digital transformation,innovation,internet of things,machine learning,quantum computing,robotics,semiconductors,tech industry
2023-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
2023-04,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
2023-06,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2023-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,0.0,0.0,5.0,1.0,0.0,0.0,2.0,34.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-10,0.0,0.0,14.0,2.0,0.0,2.0,3.0,4.0,17.0,0.0,17.0,0.0,2.0,0.0,1.0,1.0,4.0
2024-11,0.0,0.0,51.0,14.0,1.0,3.0,1.0,13.0,12.0,3.0,49.0,0.0,24.0,9.0,40.0,4.0,13.0
2024-12,0.0,0.0,21.0,0.0,0.0,3.0,2.0,4.0,9.0,0.0,17.0,0.0,16.0,1.0,5.0,2.0,2.0
